,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole,,,,,,,,,,,,,,,,,,,,,,whose,,,,indecis*,,ticked,,,,mustnt,,,,,,,,,,,,,scrape*,,,,,quick*,,,,,,,,,,,,,
wholl,,,,,,,,,,,,,,,,,,,,,,wife*,,,,ineffect*,,timid*,,,,must'nt,,,,,,,,,,,,,screw*,,,,,ran,,,,,,,,,,,,,
who'll,,,,,,,,,,,,,,,,,,,,,,willing,,,,inferior* ,,tortur*,,,,mustn't,,,,,,,,,,,,,seduc*,,,,,receiv*,,,,,,,,,,,,,
whom,,,,,,,,,,,,,,,,,,,,,,wive*,,,,inhib*,,tough*,,,,mustve,,,,,,,,,,,,,seizure*,,,,,recency,,,,,,,,,,,,,
whose,,,,,,,,,,,,,,,,,,,,,,woman,,,,innocen*,,traged*,,,,must've,,,,,,,,,,,,,sensation,,,,,recent*,,,,,,,,,,,,,
will,,,,,,,,,,,,,,,,,,,,,,womanhood,,,,insecur*,,tragic* ,,,,myster*,,,,,,,,,,,,,sensations,,,,,recur*,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,,,,,womanly,,,,insincer*,,trauma*,,,,name,,,,,,,,,,,,,servings,,,,,remote*,,,,,,,,,,,,,
within,,,,,,,,,,,,,,,,,,,,,,woman's,,,,inspir*,,trembl*,,,,nearly,,,,,,,,,,,,,sex*,,,,,remov*,,,,,,,,,,,,,
without,,,,,,,,,,,,,,,,,,,,,,women*,,,,insult*,,trick*,,,,necessar*,,,,,,,,,,,,,shirt*,,,,,repeat*,,,,,,,,,,,,,
wont,,,,,,,,,,,,,,,,,,,,,,write,,,,intell*,,trite,,,,need,,,,,,,,,,,,,shit*,,,,,repetit*,,,,,,,,,,,,,
won't,,,,,,,,,,,,,,,,,,,,,,writing,,,,interest*,,trivi*,,,,needed,,,,,,,,,,,,,shoe*,,,,,replace*,,,,,,,,,,,,,
worst,,,,,,,,,,,,,,,,,,,,,,wrote,,,,interrup*,,troubl*,,,,needing,,,,,,,,,,,,,shoulder*,,,,,replacing,,,,,,,,,,,,,
would,,,,,,,,,,,,,,,,,,,,,,ya,,,,intimidat*,,turmoil,,,,neednt,,,,,,,,,,,,,sick,,,,,respectively,,,,,,,,,,,,,
wouldnt,,,,,,,,,,,,,,,,,,,,,,yall,,,,invigor*,,ugh,,,,need'nt,,,,,,,,,,,,,sickday*,,,,,return*,,,,,,,,,,,,,
wouldn't,,,,,,,,,,,,,,,,,,,,,,y'all,,,,irrational*,,ugl*,,,,needn't,,,,,,,,,,,,,sicker,,,,,rhythm*,,,,,,,,,,,,,
wouldve,,,,,,,,,,,,,,,,,,,,,,ye,,,,irrita*,,unattractive,,,,needs,,,,,,,,,,,,,sickest,,,,,ridden,,,,,,,,,,,,,
would've,,,,,,,,,,,,,,,,,,,,,,you,,,,isolat*,,uncertain*,,,,neglect*,,,,,,,,,,,,,sickleave*,,,,,ride,,,,,,,,,,,,,
ya,,,,,,,,,,,,,,,,,,,,,,youd,,,,jaded,,uncomfortabl*,,,,never,,,,,,,,,,,,,sickly,,,,,rides,,,,,,,,,,,,,
yall,,,,,,,,,,,,,,,,,,,,,,you'd,,,,jealous*,,uncontrol*,,,,news,,,,,,,,,,,,,sickness*,,,,,riding,,,,,,,,,,,,,
y'all,,,,,,,,,,,,,,,,,,,,,,youll,,,,jerk,,uneas*,,,,normal,,,,,,,,,,,,,sinus*,,,,,right,,,,,,,,,,,,,
ye,,,,,,,,,,,,,,,,,,,,,,you'll,,,,jerked,,unfortunate*,,,,not,,,,,,,,,,,,,skelet*,,,,,rise*,,,,,,,,,,,,,
yet,,,,,,,,,,,,,,,,,,,,,,your ,,,,jerks,,unfriendly,,,,notice*,,,,,,,,,,,,,skin,,,,,rising,,,,,,,,,,,,,
you,,,,,,,,,,,,,,,,,,,,,,youre,,,,joke*,,ungrateful*,,,,noticing,,,,,,,,,,,,,skinni*,,,,,road*,,,,,,,,,,,,,
youd,,,,,,,,,,,,,,,,,,,,,,you're,,,,joking,,unhapp*,,,,obedien*,,,,,,,,,,,,,skinny*,,,,,rode,,,,,,,,,,,,,
you'd,,,,,,,,,,,,,,,,,,,,,,yours,,,,joll*,,unimportant,,,,obey*,,,,,,,,,,,,,skull,,,,,room,,,,,,,,,,,,,
youll,,,,,,,,,,,,,,,,,,,,,,youve,,,,joy*,,unimpress*,,,,obscur*,,,,,,,,,,,,,sleep*,,,,,roomate*,,,,,,,,,,,,,
you'll,,,,,,,,,,,,,,,,,,,,,,you've,,,,keen*,,unkind,,,,obstac*,,,,,,,,,,,,,slender*,,,,,roomed,,,,,,,,,,,,,
your ,,,,,,,,,,,,,,,,,,,,,,,,,,kidding,,unlov*,,,,obvious*,,,,,,,,,,,,,slept,,,,,roomie*,,,,,,,,,,,,,
youre,,,,,,,,,,,,,,,,,,,,,,,,,,kill*,,unpleasant,,,,occasional*,,,,,,,,,,,,,slut*,,,,,rooming,,,,,,,,,,,,,
you're,,,,,,,,,,,,,,,,,,,,,,,,,,kind,,unprotected,,,,often,,,,,,,,,,,,,smok*,,,,,roommate*,,,,,,,,,,,,,
yours,,,,,,,,,,,,,,,,,,,,,,,,,,kindly,,unsavo*,,,,open,,,,,,,,,,,,,snack*,,,,,rooms,,,,,,,,,,,,,
youve,,,,,,,,,,,,,,,,,,,,,,,,,,kindn*,,unsuccessful*,,,,opinion,,,,,,,,,,,,,soda*,,,,,run,,,,,,,,,,,,,
you've,,,,,,,,,,,,,,,,,,,,,,,,,,kiss*,,unsure*,,,,oppos*,,,,,,,,,,,,,sore*,,,,,runner*,,,,,,,,,,,,,
zero,,,,,,,,,,,,,,,,,,,,,,,,,,laidback,,unwelcom*,,,,option,,,,,,,,,,,,,spat,,,,,running,,,,,,,,,,,,,
zillion*,,,,,,,,,,,,,,,,,,,,,,,,,,lame*,,upset*,,,,or,,,,,,,,,,,,,spinal,,,,,runs,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,laugh*,,uptight*,,,,organiz*,,,,,,,,,,,,,spine,,,,,rush*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lazie*,,useless* ,,,,origin,,,,,,,,,,,,,spit,,,,,saturday*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lazy,,vain,,,,originat*,,,,,,,,,,,,,spits,,,,,schedul*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,liabilit*,,vanity,,,,origins,,,,,,,,,,,,,spitting,,,,,season*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,liar*,,vicious*,,,,ought,,,,,,,,,,,,,starve*,,,,,seconds,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,libert*,,victim*,,,,oughta,,,,,,,,,,,,,starving,,,,,section,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lied,,vile,,,,oughtnt,,,,,,,,,,,,,std*,,,,,segment,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lies,,villain*,,,,ought'nt,,,,,,,,,,,,,stiff*,,,,,send*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,like,,violat*,,,,oughtn't,,,,,,,,,,,,,stomach*,,,,,senior*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,likeab*,,violent*,,,,oughtve,,,,,,,,,,,,,strept*,,,,,sent,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,liked,,vulnerab*,,,,ought've,,,,,,,,,,,,,stroke*,,,,,separat*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,likes,,vulture*,,,,out,,,,,,,,,,,,,stud,,,,,september*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,liking,,war,,,,outcome*,,,,,,,,,,,,,stuffed,,,,,sequen*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,livel*,,warfare*,,,,outstanding,,,,,,,,,,,,,sugar*,,,,,set,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,LMAO,,warred,,,,overall,,,,,,,,,,,,,sunburn*,,,,,shake*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,LOL,,warring,,,,partly,,,,,,,,,,,,,supper*,,,,,shape*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lone*,,wars,,,,perceiv*,,,,,,,,,,,,,surgeon*,,,,,shaping*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,longing*,,weak*,,,,percept*,,,,,,,,,,,,,surger*,,,,,shook,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lose,,weapon*,,,,perfect*,,,,,,,,,,,,,swallow*,,,,,short*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loser*,,weep*,,,,perhaps,,,,,,,,,,,,,sweat*,,,,,shut,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loses,,weird*,,,,permit*,,,,,,,,,,,,,swelling,,,,,side,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,losing,,wept,,,,pick ,,,,,,,,,,,,,swollen,,,,,sides,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loss*,,whine*,,,,plus,,,,,,,,,,,,,symptom*,,,,,siding,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lost,,whining,,,,ponder*,,,,,,,,,,,,,syndrome*,,,,,simultaneous*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lous*,,whore*,,,,positiv*,,,,,,,,,,,,,syphili*,,,,,sit,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,love,,wicked*,,,,possib*,,,,,,,,,,,,,tast*,,,,,site,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loved,,wimp*,,,,practically,,,,,,,,,,,,,tea,,,,,sitting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lovely,,witch,,,,precis*,,,,,,,,,,,,,teeth*,,,,,sky*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lover*,,woe*,,,,prefer*,,,,,,,,,,,,,tender*,,,,,slid,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loves,,worr*,,,,presum*,,,,,,,,,,,,,tendon ,,,,,slide,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loving*,,worse*,,,,pretty,,,,,,,,,,,,,tendoni*,,,,,slides,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,low*,,worst,,,,prevent*,,,,,,,,,,,,,tendons,,,,,sliding,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,loyal*,,worthless* ,,,,probable,,,,,,,,,,,,,testosterone*,,,,,slow*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,luck,,wrong*,,,,probablistic*,,,,,,,,,,,,,therap*,,,,,small*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lucked,,yearn*,,,,probably,,,,,,,,,,,,,thermometer*,,,,,sometime ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lucki*,,,,,,problem*,,,,,,,,,,,,,thigh*,,,,,sometimes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,luckless*,,,,,,produc*,,,,,,,,,,,,,thirst*,,,,,somewhere,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lucks,,,,,,prohib*,,,,,,,,,,,,,throat*,,,,,soon,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lucky,,,,,,proof,,,,,,,,,,,,,throb*,,,,,soone*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ludicrous*,,,,,,prove*,,,,,,,,,,,,,thyroid*,,,,,south*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,lying,,,,,,proving,,,,,,,,,,,,,tingl*,,,,,space,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mad,,,,,,provoc*,,,,,,,,,,,,,tire*,,,,,spaced,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,maddening,,,,,,provok*,,,,,,,,,,,,,tiring,,,,,spaces,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,madder,,,,,,prude,,,,,,,,,,,,,tit,,,,,spaci*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,maddest,,,,,,prudes,,,,,,,,,,,,,tits,,,,,span,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,madly,,,,,,prudish*,,,,,,,,,,,,,titties,,,,,spann*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,magnific*,,,,,,pure*,,,,,,,,,,,,,titty,,,,,sped,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,maniac*,,,,,,purpose*,,,,,,,,,,,,,toe,,,,,speed*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,masochis*,,,,,,puzzl*,,,,,,,,,,,,,toenail*,,,,,spring,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,melanchol*,,,,,,quer*,,,,,,,,,,,,,toes,,,,,stage,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,merit*,,,,,,question*,,,,,,,,,,,,,tongue*,,,,,stair*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,merr*,,,,,,quite,,,,,,,,,,,,,tonsils,,,,,stand,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mess,,,,,,random*,,,,,,,,,,,,,tooth*,,,,,start,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,messy,,,,,,rather,,,,,,,,,,,,,tox*,,,,,started,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,miser*,,,,,,rational*,,,,,,,,,,,,,tricep*,,,,,starter*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,miss,,,,,,react*,,,,,,,,,,,,,tumo*,,,,,starting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,missed,,,,,,real ,,,,,,,,,,,,,twitch*,,,,,starts,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,misses,,,,,,reality,,,,,,,,,,,,,tylenol,,,,,startup*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,realiz*,,,,,,,,,,,,,ulcer*,,,,,state ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mistak*,,,,,,really,,,,,,,,,,,,,unhealth*,,,,,stay*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mock,,,,,,rearrang*,,,,,,,,,,,,,urin*,,,,,step,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mocked,,,,,,reason*,,,,,,,,,,,,,uter*,,,,,stepp*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mocker*,,,,,,recall*,,,,,,,,,,,,,vagina*,,,,,steps,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mocking,,,,,,reckon*,,,,,,,,,,,,,vd,,,,,still,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mocks,,,,,,recogni*,,,,,,,,,,,,,veget*,,,,,stop,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,molest*,,,,,,recollect*,,,,,,,,,,,,,veggie*,,,,,stopped,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mooch*,,,,,,reconcil*,,,,,,,,,,,,,vein*,,,,,stopper*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mood,,,,,,reconsider*,,,,,,,,,,,,,vertigo,,,,,stopper*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,moodi*,,,,,,reconstruct*,,,,,,,,,,,,,viagra,,,,,stopping,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,moods,,,,,,reevaluat*,,,,,,,,,,,,,vicodin,,,,,stops,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,moody,,,,,,refer*,,,,,,,,,,,,,virgin*,,,,,straight,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,moron*,,,,,,reflect*,,,,,,,,,,,,,vitamin*,,,,,street*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,mourn*,,,,,,refrain*,,,,,,,,,,,,,vomit*,,,,,stretch*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,murder*,,,,,,refus*,,,,,,,,,,,,,waist*,,,,,subsequen*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,nag*,,,,,,regardless,,,,,,,,,,,,,wake,,,,,sudden*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,nast*,,,,,,regret*,,,,,,,,,,,,,wart,,,,,summer*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,neat*,,,,,,rein*,,,,,,,,,,,,,warts,,,,,sunday*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,needy,,,,,,relate*,,,,,,,,,,,,,wash,,,,,surfac*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,neglect*,,,,,,relating,,,,,,,,,,,,,water,,,,,surround*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,nerd*,,,,,,relation,,,,,,,,,,,,,weak*,,,,,swam,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,nervous*,,,,,,reluctan*,,,,,,,,,,,,,wear,,,,,swim*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,neurotic*,,,,,,rememb*,,,,,,,,,,,,,weary,,,,,synch*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,nice*,,,,,,reorgani*,,,,,,,,,,,,,weigh ,,,,,system*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,numb*,,,,,,repress*,,,,,,,,,,,,,weighed,,,,,tall,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,nurtur*,,,,,,requir*,,,,,,,,,,,,,weighing*,,,,,taller,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,obnoxious*,,,,,,reserved,,,,,,,,,,,,,weighs,,,,,tallest,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,obsess*,,,,,,resolu*,,,,,,,,,,,,,weight,,,,,tempora*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,offence*,,,,,,resolv*,,,,,,,,,,,,,wheez*,,,,,term ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,offend*,,,,,,response,,,,,,,,,,,,,whiskey*,,,,,terminat*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,offens*,,,,,,responsib*,,,,,,,,,,,,,whisky*,,,,,territor*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ok,,,,,,restrain*,,,,,,,,,,,,,whore*,,,,,then,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,okay,,,,,,restrict*,,,,,,,,,,,,,wine,,,,,thick*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,okays,,,,,,restructur*,,,,,,,,,,,,,wines,,,,,thin,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,oks,,,,,,result*,,,,,,,,,,,,,withdrawal,,,,,thinly,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,openminded*,,,,,,retain*,,,,,,,,,,,,,womb*,,,,,thinn*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,openness,,,,,,rethink*,,,,,,,,,,,,,wound*,,,,,threw,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,opportun*,,,,,,reveal*,,,,,,,,,,,,,wrist*,,,,,throw*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,optimal*,,,,,,revelat*,,,,,,,,,,,,,xanax,,,,,thursday*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,optimi*,,,,,,rigid*,,,,,,,,,,,,,xray*,,,,,til,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,original,,,,,,root*,,,,,,,,,,,,,yawn*,,,,,till,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outgoing,,,,,,safe*,,,,,,,,,,,,,zit,,,,,time*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,outrag*,,,,,,same,,,,,,,,,,,,,zits,,,,,timing,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,overwhelm*,,,,,,save,,,,,,,,,,,,,zoloft,,,,,tinier,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pain,,,,,,secret,,,,,,,,,,,,,,,,,,tiniest,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pained,,,,,,secrets,,,,,,,,,,,,,,,,,,tiny,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,painf*,,,,,,seem,,,,,,,,,,,,,,,,,,today*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,paining,,,,,,seemed,,,,,,,,,,,,,,,,,,together,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,painl*,,,,,,seeming*,,,,,,,,,,,,,,,,,,tomorrow*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pains,,,,,,seems,,,,,,,,,,,,,,,,,,tonight*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,palatabl*,,,,,,sense,,,,,,,,,,,,,,,,,,took,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,panic*,,,,,,sensed,,,,,,,,,,,,,,,,,,top,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,paradise,,,,,,senses,,,,,,,,,,,,,,,,,,toward*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,paranoi*,,,,,,sensing,,,,,,,,,,,,,,,,,,town,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,partie*,,,,,,shaki*,,,,,,,,,,,,,,,,,,transact*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,party*,,,,,,shaky,,,,,,,,,,,,,,,,,,transport*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,passion*,,,,,,should,,,,,,,,,,,,,,,,,,travel*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pathetic*,,,,,,shouldnt,,,,,,,,,,,,,,,,,,trip,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,peace*,,,,,,should'nt,,,,,,,,,,,,,,,,,,tripped,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,peculiar*,,,,,,shouldn't,,,,,,,,,,,,,,,,,,tripping,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,perfect*,,,,,,shoulds,,,,,,,,,,,,,,,,,,trips,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,personal,,,,,,shouldve,,,,,,,,,,,,,,,,,,tuesday*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,perver*,,,,,,should've,,,,,,,,,,,,,,,,,,under,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pessimis*,,,,,,sign,,,,,,,,,,,,,,,,,,underneath,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,petrif*,,,,,,since,,,,,,,,,,,,,,,,,,undersid*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pettie*,,,,,,solution*,,,,,,,,,,,,,,,,,,universe*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,petty*,,,,,,solve,,,,,,,,,,,,,,,,,,until,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,phobi*,,,,,,solved,,,,,,,,,,,,,,,,,,up,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,piss*,,,,,,solves,,,,,,,,,,,,,,,,,,updat*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,piti*,,,,,,solving,,,,,,,,,,,,,,,,,,upon,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pity* ,,,,,,some,,,,,,,,,,,,,,,,,,upper,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,play,,,,,,somebod*,,,,,,,,,,,,,,,,,,uppermost,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,played,,,,,,somehow,,,,,,,,,,,,,,,,,,upstairs,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,playful*,,,,,,someone*,,,,,,,,,,,,,,,,,,usual,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,playing,,,,,,something*,,,,,,,,,,,,,,,,,,usually,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,plays,,,,,,sometime,,,,,,,,,,,,,,,,,,vast*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pleasant*,,,,,,sometimes,,,,,,,,,,,,,,,,,,verg*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,please*,,,,,,somewhat,,,,,,,,,,,,,,,,,,vertical*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pleasing,,,,,,somewhere,,,,,,,,,,,,,,,,,,visit*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,pleasur*,,,,,,sort,,,,,,,,,,,,,,,,,,walk,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,poison*,,,,,,sorta,,,,,,,,,,,,,,,,,,walked,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,popular*,,,,,,sortof,,,,,,,,,,,,,,,,,,walking,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,positiv*,,,,,,sorts,,,,,,,,,,,,,,,,,,walks,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,prais*,,,,,,sortsa,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,precious*,,,,,,source*,,,,,,,,,,,,,,,,,,walling,,,,,,,,,,,,,
